node,metric,mean_slope,change_magnitude,change_direction,relative_slope,abs_effect_size,effect_size_cohens_d,r_squared,n_sessions,significant
1,degree,-7.284693166438142e-15,0.0,decreasing,-8.993448353627336e-17,8.993448353627336e-17,-8.993448353627336e-17,,9,False
1,strength,-0.10214276141686188,2.952163600921068,decreasing,-0.0023825025739800665,0.0023825025739800665,-0.0023825025739800665,0.010760693752974726,9,False
1,betweenness,12.666666666666663,128.0,increasing,0.2007042253521126,0.2007042253521126,0.2007042253521126,0.07111432136056217,9,True
1,clustering,-0.001027887080286522,0.025541777716203196,decreasing,-0.00205578270552894,0.00205578270552894,-0.00205578270552894,0.015018089826622893,9,False
1,local_efficiency,-0.001022599743660734,0.025858599193188503,decreasing,-0.002041940341942256,0.002041940341942256,-0.002041940341942256,0.014532807024061012,9,False
1,participation_coef,-0.01227040285538879,0.07931321640110978,decreasing,-0.015616329841912387,0.015616329841912387,-0.015616329841912387,0.2267805986338728,9,True
1,within_module_zscore,0.2908554922470137,3.058941248543732,increasing,7.898144544037533,7.898144544037533,7.898144544037533,0.07284671212595029,9,True
2,degree,-7.284693166438142e-15,0.0,decreasing,-8.993448353627336e-17,8.993448353627336e-17,-8.993448353627336e-17,,9,False
2,strength,1.711911877110444,5.522009155202028,increasing,0.03980086864347715,0.03980086864347715,0.03980086864347715,0.5267512735083687,9,True
2,betweenness,30.333333333333336,200.0,increasing,0.291044776119403,0.291044776119403,0.291044776119403,0.16159520216474987,9,True
2,clustering,0.011873673707185972,0.041776311555252854,increasing,0.02380809012569804,0.02380809012569804,0.02380809012569804,0.36547592989436006,9,True
2,local_efficiency,0.01190814111029488,0.04167975661793505,increasing,0.023840910812767256,0.023840910812767256,0.023840910812767256,0.36770662673730337,9,True
2,participation_coef,-0.009733503205644948,0.08140185567007951,decreasing,-0.012435619172790742,0.012435619172790742,-0.012435619172790742,0.14880646065975145,9,True
2,within_module_zscore,-0.36681632862392977,3.5567768265890782,decreasing,-1.7580547082560785,1.7580547082560785,-1.7580547082560785,0.0943139972481859,9,True
3,degree,-7.284693166438142e-15,0.0,decreasing,-8.993448353627336e-17,8.993448353627336e-17,-8.993448353627336e-17,,9,False
3,strength,-1.311059637980286,5.741844113732107,decreasing,-0.030329903004591784,0.030329903004591784,-0.030329903004591784,0.3517401163536129,9,True
3,betweenness,124.99999999999993,512.0,increasing,0.9816753926701566,0.9816753926701566,0.9816753926701566,0.4494075011504831,9,True
3,clustering,-0.013248873137237719,0.0600424918731014,decreasing,-0.026438068015886267,0.026438068015886267,-0.026438068015886267,0.3143526256539604,9,True
3,local_efficiency,-0.013263401715279968,0.060127658867476785,decreasing,-0.02642689582926008,0.02642689582926008,-0.02642689582926008,0.31391843934572705,9,True
3,participation_coef,-0.01448337527921749,0.10384169792774844,decreasing,-0.018596309550271955,0.018596309550271955,-0.018596309550271955,0.18884581700638958,9,True
3,within_module_zscore,-0.4896053979945625,1.7005828603079398,decreasing,-9.746407398100674,9.746407398100674,-9.746407398100674,0.619702878746248,9,True
4,degree,-7.284693166438142e-15,0.0,decreasing,-8.993448353627336e-17,8.993448353627336e-17,-8.993448353627336e-17,,9,False
4,strength,0.43343856107497386,7.69488324234856,increasing,0.010078416021090915,0.010078416021090915,0.010078416021090915,0.01820038192051643,9,True
4,betweenness,-169.0,630.0,decreasing,-0.4893822393822394,0.4893822393822394,-0.4893822393822394,0.4064041511724976,9,True
4,clustering,0.008174290914641459,0.07664312489583003,increasing,0.01656013939208778,0.01656013939208778,0.01656013939208778,0.07984409110795343,9,True
4,local_efficiency,0.008206611501680332,0.07680526058030407,increasing,0.0166005317344993,0.0166005317344993,0.0166005317344993,0.0798493761006388,9,True
4,participation_coef,-0.013493114621348851,0.08763537488428275,decreasing,-0.017239105264481445,0.017239105264481445,-0.017239105264481445,0.24538843844958824,9,True
4,within_module_zscore,-0.047586279244902385,2.5483875449584503,decreasing,-0.2693103952024482,0.2693103952024482,-0.2693103952024482,0.0017519039843749695,9,True
5,degree,-7.284693166438142e-15,0.0,decreasing,-8.993448353627336e-17,8.993448353627336e-17,-8.993448353627336e-17,,9,False
5,strength,-0.9026643744893512,4.248661160993578,decreasing,-0.021016763846674596,0.021016763846674596,-0.021016763846674596,0.22653313865089442,9,True
5,betweenness,60.66666666666665,208.0,increasing,0.5270270270270269,0.5270270270270269,0.5270270270270269,0.5173900366544486,9,True
5,clustering,-0.009105882503396426,0.030846030477450603,decreasing,-0.018324621194602216,0.018324621194602216,-0.018324621194602216,0.42340130753124305,9,True
5,local_efficiency,-0.009099433224667086,0.030656323869507507,decreasing,-0.018284015302052703,0.018284015302052703,-0.018284015302052703,0.42316789994157533,9,True
5,participation_coef,-0.017779750903948295,0.09425789224555048,decreasing,-0.022794157554810884,0.022794157554810884,-0.022794157554810884,0.3274165080716286,9,True
5,within_module_zscore,-0.3094034476913349,3.939496355435578,decreasing,-4.111787015328723,4.111787015328723,-4.111787015328723,0.04488849917907478,9,True
6,degree,-7.284693166438142e-15,0.0,decreasing,-8.993448353627336e-17,8.993448353627336e-17,-8.993448353627336e-17,,9,False
6,strength,-1.0358960642548596,5.2859745852862545,decreasing,-0.024418916026697157,0.024418916026697157,-0.024418916026697157,0.18110228129611483,9,True
6,betweenness,63.66666666666667,404.0,increasing,0.6887019230769231,0.6887019230769231,0.6887019230769231,0.18261196022158444,9,True
6,clustering,-0.00910391493273912,0.05048103034914553,decreasing,-0.018365287538444675,0.018365287538444675,-0.018365287538444675,0.15890929006190502,9,True
6,local_efficiency,-0.009070064584647864,0.050289797343372966,decreasing,-0.018268969251525945,0.018268969251525945,-0.018268969251525945,0.1578914589421222,9,True
