node,metric,mean_slope,abs_effect_size,effect_size_cohens_d,change_direction,r_squared,significant
7,within_module_zscore,0.20280740514213955,41.264466480217266,41.264466480217266,increasing,0.028233636953611252,True
48,within_module_zscore,-0.7438451638362634,27.76662908457774,-27.76662908457774,decreasing,0.48716747401120963,True
57,within_module_zscore,0.7418301638539174,20.53836699648809,20.53836699648809,increasing,0.34107225727296253,True
3,within_module_zscore,-0.4896053979945625,9.746407398100674,-9.746407398100674,decreasing,0.619702878746248,True
79,within_module_zscore,-0.3832016105834205,8.820665759567822,-8.820665759567822,decreasing,0.23843140174121624,True
60,within_module_zscore,0.6116414283588046,8.756629377693683,8.756629377693683,increasing,0.328320409904303,True
1,within_module_zscore,0.2908554922470137,7.898144544037533,7.898144544037533,increasing,0.07284671212595029,True
51,within_module_zscore,-0.22503430542776745,7.524059655424845,-7.524059655424845,decreasing,0.02459534504630001,True
44,within_module_zscore,-0.570748096805532,7.3880195709620065,-7.3880195709620065,decreasing,0.2238078603516791,True
80,within_module_zscore,-0.8615078554940213,7.080664264641813,-7.080664264641813,decreasing,0.7655011621936154,True
54,within_module_zscore,0.9656209601868085,6.0767705981291655,6.0767705981291655,increasing,0.5939548947935414,True
19,within_module_zscore,0.13433046918428163,5.504983210600767,5.504983210600767,increasing,0.013287477095807687,True
68,within_module_zscore,0.29162550049846986,5.211949781242631,5.211949781242631,increasing,0.3024052052571625,True
58,within_module_zscore,-0.49446863508615047,4.9981183339451976,-4.9981183339451976,decreasing,0.3118997494877478,True
5,within_module_zscore,-0.3094034476913349,4.111787015328723,-4.111787015328723,decreasing,0.04488849917907478,True
30,within_module_zscore,-0.3805060871320523,3.85491943308437,-3.85491943308437,decreasing,0.07762999578313656,True
69,within_module_zscore,0.3397487382499156,3.1080334472247246,3.1080334472247246,increasing,0.05325588777706303,True
59,within_module_zscore,-0.41735693983809885,2.9575658098646547,-2.9575658098646547,decreasing,0.26792731280158444,True
34,within_module_zscore,0.807997235711919,2.8938845542220633,2.8938845542220633,increasing,0.39568672874594113,True
39,within_module_zscore,0.33241595622788533,2.819445532837452,2.819445532837452,increasing,0.07434423803834622,True
