group,session,density_mean,density_std,path_length_mean,path_length_std,global_efficiency_mean,global_efficiency_std,clustering_coef_mean,clustering_coef_std,transitivity_mean,transitivity_std,modularity_mean,modularity_std,n_communities_mean,n_communities_std,participation_coef_mean_mean,participation_coef_mean_std,local_efficiency_mean_mean,local_efficiency_mean_std,betweenness_mean_mean,betweenness_mean_std,small_worldness_mean,small_worldness_std
control,1,1.0,0.0,1.849428267255491,0.009944924053192949,0.5407225238398489,0.0029129565093442425,0.5010020521288536,0.003148907172481949,0.5010020521288536,0.003148907172481926,1.0965165675310187e-17,0.0,1.0,0.0,0.0,0.0,0.5017139965792905,0.0031163284909723385,114.98902439024391,6.63191117579536,0.2709107349998029,0.0030668443473821074
control,2,1.0,0.0,1.849428267255491,0.009944924053192949,0.5407225238398489,0.0029129565093442425,0.5010020521288536,0.003148907172481949,0.5010020521288536,0.003148907172481926,1.0965165675310187e-17,0.0,1.0,0.0,0.0,0.0,0.5017139965792905,0.0031163284909723385,114.98902439024391,6.63191117579536,0.2709107349998029,0.0030668443473821074
control,3,1.0,0.0,1.8483201770859796,0.013371700617740685,0.5410585910736881,0.003897646975346505,0.5007643065384888,0.004785968894368205,0.5007643065384888,0.004785968894368216,1.0965165675310187e-17,0.0,1.0,0.0,0.0,0.0,0.5015159478640959,0.004779728319314847,116.71097560975609,7.546917549226193,0.2709578061937635,0.004352948987234417
intervention_alone_long,1,1.0,0.0,1.8417419932124317,0.014417808998392593,0.5429958857080561,0.004258567572044492,0.5068595237300777,0.0047848005711518034,0.5068595237300777,0.004784800571151807,1.0965165675310187e-17,0.0,1.0,0.0,0.0,0.0,0.5073669342849649,0.004785363946305456,102.5658536585366,5.43270066480324,0.275240211312277,0.004660445966642005
intervention_alone_long,2,1.0,0.0,1.8417419932124317,0.014417808998392593,0.5429958857080561,0.004258567572044492,0.5068595237300777,0.0047848005711518034,0.5068595237300777,0.004784800571151807,1.0965165675310187e-17,0.0,1.0,0.0,0.0,0.0,0.5073669342849649,0.004785363946305456,102.5658536585366,5.43270066480324,0.275240211312277,0.004660445966642005
intervention_alone_long,3,1.0,0.0,1.8292935887535322,0.020212752671436775,0.5467227307500259,0.006061454248385195,0.5188803030929555,0.0063140035983886705,0.5188803030929555,0.0063140035983887104,1.0965165675310187e-17,0.0,1.0,0.0,0.0,0.0,0.5191011536501889,0.006299844018945647,85.06463414634146,4.8633042568362415,0.28371702108998387,0.00646942336187589
intervention_alone_short,1,1.0,0.0,1.8466573284082846,0.014012789890044841,0.5415485263481165,0.004098342496794645,0.5044345741018521,0.00468628718791771,0.504434574101852,0.004686287187917707,1.0965165675310187e-17,0.0,1.0,0.0,0.0,0.0,0.5049924816637911,0.0046449881498914014,106.44878048780488,7.309458596750763,0.2731918471607957,0.004460103531238049
intervention_alone_short,2,1.0,0.0,1.8466573284082846,0.014012789890044841,0.5415485263481165,0.004098342496794645,0.5044345741018521,0.00468628718791771,0.504434574101852,0.004686287187917707,1.0965165675310187e-17,0.0,1.0,0.0,0.0,0.0,0.5049924816637911,0.0046449881498914014,106.44878048780488,7.309458596750763,0.2731918471607957,0.004460103531238049
intervention_alone_short,3,1.0,0.0,1.8376008285963668,0.01535822021758386,0.5442239596445828,0.004551127751324782,0.5136610858138146,0.004218090103162424,0.5136610858138146,0.004218090103162393,1.0965165675310187e-17,0.0,1.0,0.0,0.0,0.0,0.5139785175297318,0.004249187239155882,92.20487804878049,4.988897156389684,0.2795619877570753,0.004444931162665931
intervention_group_long,1,1.0,0.0,1.8414975615306877,0.016177497264722274,0.5430761411416898,0.004775757905463872,0.5085142133447861,0.004857016090935635,0.5085142133447861,0.004857016090935627,1.0965165675310187e-17,0.0,1.0,0.0,0.0,0.0,0.5089836916716879,0.004830419365149829,102.85487804878048,9.08242614259603,0.2761823339622715,0.004978192868166023
